1588290900	8617.5	8646.5	8595	8627.5	11539965
1588291200	8627.5	8674.5	8622.5	8639	15889047
1588291500	8639	8678	8639	8678	10843899
1588291800	8678	8704	8674.5	8683	11415531
1588292100	8683	8695	8675.5	8677.5	5282136
1588292400	8677.5	8678	8650.5	8672	6673972
1588292700	8672	8719.5	8671.5	8712.5	11459947
1588293000	8712.5	8727	8707	8717.5	6108340
1588293300	8717.5	8723.5	8705.5	8715.5	3017864
1588293600	8715.5	8739	8715	8735	4754290
1588293900	8735	8735	8709	8731	4260289
1588294200	8731	8731	8716	8721.5	1801614
1588294500	8721.5	8722	8696	8714	6281188
1588294800	8714	8730	8714	8729.5	2694383
1588295100	8729.5	8735.5	8727.5	8727.5	2332355
1588295400	8727.5	8727.5	8720	8726.5	2012867
1588295700	8726.5	8745	8726.5	8745	4704407
1588296000	8745	8764	8744.5	8752.5	5919577
1588296300	8752.5	8752	8701.5	8720	11213583
1588296600	8720	8723	8707.5	8715	6540981
1588296900	8715	8715	8672	8691.5	9814886
1588297200	8691.5	8702.5	8690.5	8690.5	3549347
1588297500	8690.5	8698.5	8683	8690.5	5316730
1588297800	8690.5	8695	8675	8691	3096101
1588298100	8691	8690.5	8666.5	8666.5	3947149
1588298400	8666.5	8701.5	8660	8697	8695743
1588298700	8697	8710	8697	8703.5	4440698
1588299000	8703.5	8708	8691	8691.5	2488735
1588299300	8691.5	8712.5	8691	8706.5	2635462
1588299600	8706.5	8713	8706	8706	1331278
1588299900	8706	8719	8700	8719	3157735
1588300200	8719	8733.5	8718.5	8729	4097519
1588300500	8729	8729	8716	8722.5	3127316
1588300800	8722.5	8725.5	8704.5	8706.5	3856423
1588301100	8706.5	8716.5	8703	8716	2824139
1588301400	8716	8729	8716	8725.5	4150614
1588301700	8725.5	8730.5	8725.5	8730.5	2020297
1588302000	8730.5	8740.5	8729	8729	4089358
1588302300	8729	8735.5	8721.5	8735	2421062
1588302600	8735	8735.5	8694	8700.5	14515791
1588302900	8700.5	8700.5	8663.5	8692.5	14984249
1588303200	8692.5	8714.5	8683	8684.5	4849560
1588303500	8684.5	8694.5	8674	8694	4436739
